,latitude,longitude,postalCode,Date,Hour,make,model,year,soakTime,day_night
56,29.801,-94.999,77521,10/3/2019,12,CHEVROLET,MALIBU,2017,7.3,dtime
57,29.798,-94.98,77521,10/14/2019,12,CHEVROLET,MALIBU,2017,7.35,dtime
58,29.828,-94.983,77521,10/12/2019,12,CHEVROLET,MALIBU,2017,16.78333333,dtime
59,29.794,-94.98,77521,10/25/2019,12,CHEVROLET,MALIBU,2017,17.38333333,dtime
60,29.772,-94.996,77521,10/27/2019,12,CHEVROLET,MALIBU,2017,17.66666667,dtime
61,29.803,-94.904,77521,10/19/2019,12,CHEVROLET,MALIBU,2017,24.26666667,dtime
62,29.804,-94.931,77521,10/19/2019,12,CHEVROLET,MALIBU,2017,10.66666667,dtime
63,29.797,-94.979,77521,10/21/2019,12,CHEVROLET,MALIBU,2017,9.866666667,dtime
64,29.797,-94.979,77521,10/22/2019,12,CHEVROLET,MALIBU,2017,14.93333333,dtime
65,29.771,-94.991,77521,10/31/2019,12,CHEVROLET,MALIBU,2017,15.43333333,dtime
66,29.759,-94.977,77521,10/20/2019,12,CHEVROLET,MALIBU,2017,22.23333333,dtime
67,29.759,-94.977,77521,10/20/2019,12,CHEVROLET,MALIBU,2017,7.4,dtime
68,29.805,-94.984,77521,10/27/2019,12,CHEVROLET,MALIBU,2017,20.63333333,dtime
69,29.794,-94.982,77521,10/6/2019,12,CHEVROLET,MALIBU,2017,6.683333333,dtime
70,29.772,-94.993,77521,10/15/2019,12,CHEVROLET,MALIBU,2017,19.08333333,dtime
71,29.803,-95.014,77521,10/8/2019,12,CHEVROLET,MALIBU,2017,15.5,dtime
72,29.801,-95,77521,10/14/2019,12,CHEVROLET,MALIBU,2017,11.3,dtime
73,29.799,-94.98,77521,10/14/2019,12,CHEVROLET,MALIBU,2017,10.86666667,dtime
74,29.798,-95.033,77521,10/1/2019,12,CHEVROLET,MALIBU,2017,18.03333333,dtime
75,29.793,-95.005,77521,10/12/2019,12,CHEVROLET,MALIBU,2017,7.566666667,dtime
76,29.761,-94.965,77521,10/12/2019,12,CHEVROLET,MALIBU,2017,7.3,dtime
77,29.804,-94.991,77521,10/5/2019,12,CHEVROLET,MALIBU,2017,24.98333333,dtime
78,29.771,-94.935,77521,10/29/2019,12,CHEVROLET,MALIBU,2017,26.45,dtime
79,29.806,-94.964,77521,10/2/2019,12,CHEVROLET,MALIBU,2017,11.11666667,dtime
80,29.768,-94.979,77521,10/30/2019,12,CHEVROLET,MALIBU,2017,28.76666667,dtime
81,29.774,-94.979,77521,10/19/2019,12,CHEVROLET,MALIBU,2017,28.05,dtime
82,29.774,-94.979,77521,10/20/2019,12,CHEVROLET,MALIBU,2017,18.91666667,dtime
83,29.779,-94.976,77521,10/27/2019,12,CHEVROLET,MALIBU,2017,25.65,dtime
84,29.775,-94.974,77521,10/2/2019,12,CHEVROLET,MALIBU,2017,20.96666667,dtime
85,29.76,-94.976,77521,10/4/2019,12,CHEVROLET,MALIBU,2017,6.4,dtime
86,29.776,-94.974,77521,10/8/2019,12,CHEVROLET,MALIBU,2017,10.58333333,dtime
87,29.776,-94.974,77521,10/8/2019,12,CHEVROLET,MALIBU,2017,19.66666667,dtime
88,29.772,-94.977,77521,10/23/2019,12,CHEVROLET,MALIBU,2017,16.66666667,dtime
89,29.776,-94.975,77521,10/23/2019,12,CHEVROLET,MALIBU,2017,18.25,dtime
90,29.79,-94.909,77521,10/13/2019,12,CHEVROLET,MALIBU,2017,15.6,dtime
91,29.773,-94.938,77521,10/2/2019,12,CHEVROLET,MALIBU,2017,22.38333333,dtime
92,29.801,-94.994,77521,10/9/2019,12,CHEVROLET,MALIBU,2017,23.45,dtime
93,29.795,-94.982,77521,10/23/2019,12,CHEVROLET,MALIBU,2017,22.91666667,dtime
94,29.809,-94.929,77521,10/28/2019,12,CHEVROLET,MALIBU,2017,26.03333333,dtime
95,29.76,-94.978,77521,10/29/2019,12,CHEVROLET,MALIBU,2017,8.116666667,dtime
96,29.761,-94.965,77521,10/7/2019,12,CHEVROLET,MALIBU,2017,23.55,dtime
97,29.76,-94.965,77521,10/27/2019,12,CHEVROLET,MALIBU,2017,10.36666667,dtime
98,29.793,-94.983,77521,10/24/2019,12,CHEVROLET,MALIBU,2017,10.11666667,dtime
99,29.752,-94.974,77521,10/6/2019,12,CHEVROLET,MALIBU,2017,12.75,dtime
100,29.792,-94.982,77521,10/1/2019,12,CHEVROLET,MALIBU,2017,21.71666667,dtime
101,29.775,-94.979,77521,10/2/2019,12,CHEVROLET,MALIBU,2017,10.36666667,dtime
