,latitude,longitude,postalCode,Date,Hour,make,model,year,soakTime,day_night
56,29.753,-94.978,77521,7/2/2019,16,CHEVROLET,MALIBU,2017,14.98333333,dtime
57,29.775,-94.98,77521,7/6/2019,16,CHEVROLET,MALIBU,2017,24.35,dtime
58,29.774,-94.978,77521,7/6/2019,16,CHEVROLET,MALIBU,2017,27,dtime
59,29.771,-94.977,77521,7/6/2019,16,CHEVROLET,MALIBU,2017,24.26666667,dtime
60,29.775,-94.979,77521,7/31/2019,16,CHEVROLET,MALIBU,2017,20.78333333,dtime
61,29.819,-94.993,77521,7/27/2019,16,CHEVROLET,MALIBU,2017,7.95,dtime
62,29.775,-94.98,77521,7/4/2019,16,CHEVROLET,MALIBU,2017,13.06666667,dtime
63,29.773,-94.979,77521,7/4/2019,16,CHEVROLET,MALIBU,2017,6.083333333,dtime
64,29.777,-94.976,77521,7/12/2019,16,CHEVROLET,MALIBU,2017,13.08333333,dtime
65,29.752,-94.976,77521,7/12/2019,16,CHEVROLET,MALIBU,2017,9.116666667,dtime
66,29.752,-94.976,77521,7/20/2019,16,CHEVROLET,MALIBU,2017,11.63333333,dtime
67,29.76,-94.976,77521,7/20/2019,16,CHEVROLET,MALIBU,2017,10.83333333,dtime
68,29.752,-94.976,77521,7/20/2019,16,CHEVROLET,MALIBU,2017,17.28333333,dtime
69,29.752,-94.976,77521,7/30/2019,16,CHEVROLET,MALIBU,2017,6.5,dtime
70,29.795,-94.981,77521,7/1/2019,16,CHEVROLET,MALIBU,2017,22.13333333,dtime
71,29.775,-94.979,77521,7/21/2019,16,CHEVROLET,MALIBU,2017,11.38333333,dtime
72,29.8,-94.999,77521,7/14/2019,16,CHEVROLET,MALIBU,2017,10.05,dtime
73,29.796,-94.978,77521,7/27/2019,16,CHEVROLET,MALIBU,2017,23.86666667,dtime
74,29.81,-94.983,77521,7/23/2019,16,CHEVROLET,MALIBU,2017,24.53333333,dtime
75,29.776,-94.977,77521,7/31/2019,16,CHEVROLET,MALIBU,2017,19.46666667,dtime
76,29.797,-94.979,77521,7/31/2019,16,CHEVROLET,MALIBU,2017,23.65,dtime
77,29.777,-94.967,77521,7/14/2019,16,CHEVROLET,MALIBU,2017,7.766666667,dtime
78,29.795,-94.978,77521,7/15/2019,16,CHEVROLET,MALIBU,2017,16.6,dtime
79,29.761,-94.965,77521,7/23/2019,16,CHEVROLET,MALIBU,2017,28.25,dtime
80,29.806,-94.901,77521,7/6/2019,16,CHEVROLET,MALIBU,2017,7.5,dtime
81,29.809,-94.929,77521,7/11/2019,16,CHEVROLET,MALIBU,2017,29.41666667,dtime
82,29.806,-94.901,77521,7/20/2019,16,CHEVROLET,MALIBU,2017,8.45,dtime
83,29.809,-94.929,77521,7/25/2019,16,CHEVROLET,MALIBU,2017,29.91666667,dtime
84,29.786,-94.978,77521,7/25/2019,16,CHEVROLET,MALIBU,2017,15.73333333,dtime
85,29.781,-94.999,77521,7/10/2019,16,CHEVROLET,MALIBU,2017,7.816666667,dtime
86,29.781,-94.999,77521,7/11/2019,16,CHEVROLET,MALIBU,2017,18.91666667,dtime
87,29.781,-94.999,77521,7/12/2019,16,CHEVROLET,MALIBU,2017,27.53333333,dtime
88,29.781,-94.999,77521,7/16/2019,16,CHEVROLET,MALIBU,2017,15.01666667,dtime
89,29.761,-94.965,77521,7/1/2019,16,CHEVROLET,MALIBU,2017,10,dtime
90,29.761,-94.965,77521,7/13/2019,16,CHEVROLET,MALIBU,2017,26.33333333,dtime
91,29.818,-94.994,77521,7/31/2019,16,CHEVROLET,MALIBU,2017,13.48333333,dtime
92,29.777,-94.976,77521,7/28/2019,16,CHEVROLET,MALIBU,2017,17.85,dtime
93,29.808,-94.927,77521,7/28/2019,16,CHEVROLET,MALIBU,2017,25.16666667,dtime
94,29.795,-94.978,77521,7/2/2019,16,CHEVROLET,MALIBU,2017,9.733333333,dtime
95,29.807,-95.018,77521,7/1/2019,16,CHEVROLET,MALIBU,2017,26.5,dtime
96,29.776,-94.975,77521,7/4/2019,16,CHEVROLET,MALIBU,2017,23.45,dtime
97,29.793,-94.983,77521,7/4/2019,16,CHEVROLET,MALIBU,2017,26.61666667,dtime
98,29.762,-94.978,77521,7/11/2019,16,CHEVROLET,MALIBU,2017,10.48333333,dtime
99,29.769,-94.969,77521,7/11/2019,16,CHEVROLET,MALIBU,2017,9.633333333,dtime
100,29.794,-94.983,77521,7/26/2019,16,CHEVROLET,MALIBU,2017,18.78333333,dtime
101,29.799,-94.98,77521,7/26/2019,16,CHEVROLET,MALIBU,2017,10.9,dtime
102,29.801,-94.994,77521,7/24/2019,16,CHEVROLET,MALIBU,2017,20.11666667,dtime
103,29.766,-94.977,77521,7/1/2019,16,CHEVROLET,MALIBU,2017,12.18333333,dtime
104,29.801,-95,77521,7/25/2019,16,CHEVROLET,MALIBU,2017,6.6,dtime
105,29.819,-94.977,77521,7/13/2019,16,CHEVROLET,MALIBU,2017,27.88333333,dtime
106,29.774,-94.921,77521,7/13/2019,16,CHEVROLET,MALIBU,2017,18.66666667,dtime
